num_rows;id;name;host_id;host_name;neighbourhood;room_type;price;minimum_nights;number_of_reviews;last_review;reviews_per_month;calculated_host_listings_count;availability_365;number_of_reviews_ltm
2329;3236180;Downtown Loft next to Termini Station;13710209;Matteo;I Centro Storico;Entire home/apt;45;5.0;196;01/10/2019;2.20;3.0;273.0;0
2330;3237138;Bnb nel cuore di Roma Trastevere;16379602;Rizzo;I Centro Storico;Private room;95;1.0;1;11/10/2019;0.04;2.0;362.0;0
2331;3242656;Wide and sunny room;16367746;Dario Commevenevene;VII San Giovanni/Cinecittà;Private room;30;2.0;46;07/04/2017;0.50;1.0;0.0;0
2332;3242683;Central Room close Subway /Wifi 24h;2785304;Alessandra;VII San Giovanni/Cinecittà;Private room;30;3.0;168;07/06/2019;1.87;1.0;0.0;0
2333;3242915;NAVONA SQUARE EXCLUSIVE APARTMENT HISTORIC CENTER!;16420942;Francesco;I Centro Storico;Entire home/apt;109;2.0;48;22/11/2021;0.55;1.0;187.0;4
2334;3245800;ALTIERI LOFT PANTHEON;6519534;Alessia & Daniele;I Centro Storico;Entire home/apt;102;1.0;153;29/11/2021;1.69;25.0;289.0;1
2335;3251734;Roma210 Silver house metro St.Peter;16448650;Riccardo;XIII Aurelia;Entire home/apt;60;3.0;111;04/11/2021;1.25;2.0;340.0;6
2336;3251851;New Studio Rome-Termini/A.C./WiFi;16449185;Massimiliano;II Parioli/Nomentano;Entire home/apt;54;3.0;323;01/12/2021;3.57;1.0;287.0;33
2337;3252676;Delizioso appartamento zona Pigneto;16452432;Alessia;VII San Giovanni/Cinecittà;Entire home/apt;50;2.0;9;16/02/2015;0.10;1.0;329.0;0
2338;3254154;ROMAN HOLIDAYS! AT PIAZZA NAVONA!;16457395;LC Property Management;I Centro Storico;Entire home/apt;340;2.0;197;26/10/2021;2.18;5.0;129.0;10
2339;3256219;Roma a 900mt dal Colosseo;13033832;Tatiana E Mirco;VII San Giovanni/Cinecittà;Entire home/apt;55;3.0;29;24/10/2018;0.42;1.0;346.0;0
2340;3257000;Penthouse overlooking the sea Lido di Roma Ostia;16471225;Maria Assunta;X Ostia/Acilia;Entire home/apt;120;5.0;27;12/09/2021;0.30;3.0;162.0;1
2342;3259583;Roma210 Red house metro St.Peter;16448650;Riccardo;XIII Aurelia;Entire home/apt;55;3.0;27;04/01/2020;0.31;2.0;344.0;0
2343;3260174;A stone's throw from the Colosseum;16484694;Aldo;I Centro Storico;Entire home/apt;49;3.0;397;29/11/2021;4.37;2.0;53.0;44
2345;3266672;Circus Maximus Coliseum-Large sunny room+bathroom;16519139;Riccardo;I Centro Storico;Private room;71;1.0;389;02/12/2021;5.68;4.0;3.0;26
2346;3266684;Exclusive&Comfy Room+Bath&Kitchen in CircusMaximus;16519139;Riccardo;I Centro Storico;Private room;74;1.0;89;03/02/2020;2.15;4.0;0.0;0
2347;3266846;In the heart of Rome, Monteverde;16519975;Barbara;XII Monte Verde;Entire home/apt;70;2.0;45;06/11/2021;0.50;1.0;346.0;6
2349;3278169;Apartment in central Rome.;16571745;Stefano;I Centro Storico;Entire home/apt;45;2.0;253;21/02/2021;3.17;1.0;0.0;1
2351;3281148;popolo loft;8854463;Enrica;I Centro Storico;Entire home/apt;100;6.0;19;14/11/2021;0.22;1.0;225.0;2
2352;3286456;APARTMENT ROME PANTHEON cozy apart.;1461413;Gabriele;I Centro Storico;Entire home/apt;49;3.0;212;04/12/2021;2.40;2.0;131.0;27
2353;3289043;B&B TUTTIDAMARI -  2 Beautiful Rooms;4452135;Marina;VII San Giovanni/Cinecittà;Private room;110;2.0;35;01/11/2021;0.62;3.0;351.0;1
2354;3289612;Greenhouse;4081523;Valentina;III Monte Sacro;Entire home/apt;80;4.0;31;15/09/2021;0.34;7.0;327.0;3
2355;3289829;Lovely apartment by Campo dei fiori;16540200;Matilda;I Centro Storico;Entire home/apt;51;1.0;436;20/11/2021;5.15;4.0;344.0;43
