id;name;host_id;zone_id;room_type;price;minimum_nights;number_of_reviews;last_review;reviews_per_month;availability_365;number_of_reviews_ltm
48731157;*****2 APARTMENTS X BIG GROUP NEXT COLOSSEUM*****;392209109;1;Entire home/apt;216;3.0;1;28/11/2021;1.0;240.0;1
48747601;CASALETTO210 APT B1 IN A SWIMMING POOL VILLA;507864;12;Entire home/apt;70;3.0;2;10/09/2021;0.37;247.0;2
48747948;Specchi Loft;393255451;1;Entire home/apt;105;3.0;12;02/12/2021;2.12;350.0;12
48762207;CASALETTO210 A2 APT IN VILLA CON PARCO E PISCINA;507864;12;Entire home/apt;70;3.0;5;23/11/2021;1.01;246.0;5
48762740;Stanza matrimoniale nel pittoresco Pigneto a Roma.;191259476;9;Private room;50;1.0;1;01/11/2021;0.77;178.0;1
48765635;PANTHEON LUXURY APARTMENT;160496;1;Entire home/apt;99;2.0;3;04/12/2021;1.13;311.0;3
48766487;CAPITALS LUXURY RIVER (Deluxe Triple Room);393399352;1;Private room;102;1.0;2;05/09/2021;0.54;282.0;2
48766616;CAPITALS LUXURY RIVERS (Superior Room);393399352;1;Private room;89;1.0;4;14/10/2021;0.77;307.0;4
48766663;CAPITALS LUXURY RIVER (Family Room);393399352;1;Private room;178;1.0;1;03/05/2021;0.14;223.0;1
48784303;La casa nel Borgo di Ostia Antica;104094953;14;Entire home/apt;90;1.0;21;27/11/2021;3.37;157.0;21
48784918;Bellissime camere indipendenti vicine università 4;392236821;3;Entire home/apt;46;7.0;4;28/09/2021;0.52;332.0;4
48797329;Elena’s suite;44144241;15;Entire home/apt;80;2.0;3;01/10/2021;0.5;155.0;3
48802445;Luminoso appartamento centralissimo vicino al mare;114123880;14;Entire home/apt;67;5.0;2;06/08/2021;0.27;122.0;2
48817507;CHARMING APARTMENT 100 MT FROM FONTANA DI TREVI;50433835;1;Entire home/apt;80;2.0;29;28/11/2021;4.2;277.0;29
48818887;105. Piccola Suite in Capitolina;240474894;1;Private room;49;1.0;4;18/06/2021;0.49;344.0;4
48822248;SAVORELLI GUEST HOUSE;393832114;11;Entire home/apt;110;3.0;1;19/10/2021;0.58;118.0;1
48837079;New Opening! Design apartment near Pantheon;47574516;1;Entire home/apt;181;2.0;25;10/11/2021;3.1;297.0;25
48842924;Trevi Armony Apartment;11121895;1;Entire home/apt;134;2.0;3;03/11/2021;0.53;249.0;3
48844041;INTERO APPARTAMENTO EUR Torrino NUOVO Li.Fe.Home;79431402;5;Entire home/apt;70;3.0;12;20/11/2021;1.43;230.0;12
48845023;New Opening! Navona Love Apartment;47574516;1;Entire home/apt;153;1.0;23;15/11/2021;3.11;343.0;23
48864997;Lovely studio in Fori Imperiali near the Colosseum;393659057;1;Entire home/apt;54;3.0;9;30/11/2021;1.96;294.0;9
48865264;Sophisticated Apartment near The Vatican;328024735;11;Entire home/apt;100;3.0;2;04/09/2021;0.58;134.0;2
48865864;Testaccio near Trastevere;21913533;1;Entire home/apt;83;3.0;7;26/11/2021;0.86;208.0;7
48866544;Camera matrimoniale standard;390961218;11;Private room;63;1.0;2;04/06/2021;0.25;348.0;2
48867788;Bellissime camere indipendenti vicino università 3;392236821;3;Entire home/apt;45;7.0;4;16/11/2021;0.73;8.0;4
48868270;Delizioso e comodo appartamento al Pigneto;15279706;9;Entire home/apt;59;1.0;1;24/07/2021;0.22;126.0;1
48875663;Camera  zona San Pietro , fronte metro;1790834;1;Private room;18;15.0;2;15/07/2021;0.32;303.0;2
48880893;Luce & design @ Monti ! 1 camera e 2 bagni♡;1530868;1;Entire home/apt;83;1.0;2;03/10/2021;0.8;191.0;2
48886648;Camera Singola in pieno centro;25301574;1;Private room;40;1.0;3;25/11/2021;0.47;353.0;3
48894311;COLOSSEUM FLAT NEW ENTRY!!!;148506079;1;Entire home/apt;96;2.0;24;27/11/2021;4.56;267.0;24
48899435;Casale delle Rose: charme in the Roman countryside;16063698;2;Entire home/apt;330;2.0;4;01/11/2021;1.02;363.0;4
48900325;Cava Aurelia Guest House;393832114;11;Entire home/apt;116;4.0;1;29/10/2021;0.71;345.0;1
48900408;Dea 3 -Vatican Suite Jacuzzi;73484657;11;Entire home/apt;192;2.0;3;04/11/2021;1.48;129.0;3
48900474;A due Passi da Piazza del Popolo;393832114;1;Entire home/apt;65;3.0;9;14/11/2021;2.23;356.0;9
48902420;L’ANTRE DE L‛AMOUR;394436949;1;Entire home/apt;86;3.0;13;18/10/2021;1.81;332.0;13
48915569;Gianicolo Geese: Attico di design vista San Pietro;226479785;12;Entire home/apt;70;2.0;8;19/07/2021;0.99;0.0;8
48918518;La Casetta di Ottavia: in trenino per ovunque;394569055;13;Entire home/apt;30;3.0;7;25/11/2021;0.88;116.0;7
48937276;San Pietro  ArT HOME  con Terrazza;116033758;11;Entire home/apt;86;1.0;19;28/11/2021;2.28;69.0;19
48951129;Appartamento fronte mare a Roma.;72992253;14;Entire home/apt;76;2.0;1;30/07/2021;0.23;0.0;1
48966123;Pop Chic Frattina Terrace;257539633;1;Entire home/apt;143;1.0;6;24/10/2021;0.9;185.0;6
48973621;camera zona San Pietro, fronte metro;1790834;1;Private room;20;15.0;1;30/06/2021;0.18;296.0;1
48987658;Exclusive Apartment 2 Bedrooms Spanish Steps;8447725;1;Entire home/apt;399;3.0;1;14/11/2021;1.0;343.0;1
48990055;Suite Navona with Jacuzzi;13766340;1;Entire home/apt;96;3.0;19;03/12/2021;4.52;316.0;19
48990443;Nuovissimo, confortevole, nel cuore di Prati;395100538;1;Entire home/apt;42;1.0;13;26/11/2021;1.88;166.0;13
49005720;Mare al centro;9190808;14;Entire home/apt;41;2.0;16;05/11/2021;2.17;262.0;16
49010350;✧Termini Terrace B&B✧ is 150 mt From Termini ST 3;395244092;1;Private room;59;1.0;13;13/11/2021;1.96;204.0;13
49034611;Pinocchio hostel;74412144;1;Private room;40;2.0;2;15/11/2021;0.52;224.0;2
49041557;Chic open space with XL Jacuzzi in Trastevere;258625847;1;Entire home/apt;90;1.0;52;06/12/2021;6.34;94.0;52
49042765;COLOSSEO EXCLUSIVE ELEGANT FOUR-BED APARTMENT;395523597;1;Entire home/apt;80;2.0;22;06/12/2021;3.4;162.0;22
49046893;Appartamento zona Termini A/C Wi Fi;395566933;3;Entire home/apt;69;6.0;3;21/08/2021;0.43;338.0;3
49048312;Appartamento Eurosky Tower;395575936;5;Entire home/apt;65;21.0;1;21/09/2021;0.37;163.0;1
49054306;Roma Termini appartamento A/C Wi Fi;395566933;3;Entire home/apt;78;3.0;8;27/10/2021;1.01;338.0;8
49066791;Piazza Bologna Comfortable and Quiet Flat;96122546;3;Entire home/apt;61;2.0;12;03/11/2021;2.22;150.0;12
49066864;HostMe Colosseum Apartment;395726389;1;Entire home/apt;52;2.0;10;24/11/2021;1.73;269.0;10
